,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,DOI,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,BioProject,BioSample,ScientificName,GEO Sample,PMID,aerobicity,approx_OD,dilution_rate,growth_phase,reference_condition,time,passed_replicate_correlations
DRX021104,mtase__empty_exp__1,,mtase,empty_exp,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023050,,,,,True,,True,True,mtase:empty_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019994,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021105,mtase__empty_exp__2,,mtase,empty_exp,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023051,,,,,True,,True,True,mtase:empty_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019994,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021106,mtase__dcm_exp__1,,mtase,dcm_exp,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_dcm,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023052,,,,,True,,True,True,mtase:dcm_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019995,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021107,mtase__dcm_exp__2,,mtase,dcm_exp,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_dcm,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023053,,,,,True,,True,True,mtase:dcm_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019995,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021108,mtase__ecoRIM_exp__1,,mtase,ecoRIM_exp,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023054,,,,,True,,True,True,mtase:ecoRIM_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019996,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021109,mtase__ecoRIM_exp__2,,mtase,ecoRIM_exp,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023055,,,,,True,,True,True,mtase:ecoRIM_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019996,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021110,mtase__ecoP15Imod_exp__1,,mtase,ecoP15Imod_exp,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023056,,,,,True,,True,True,mtase:ecoP15Imod_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019997,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021111,mtase__ecoP1Imod_exp__1,,mtase,ecoP1Imod_exp,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023057,,,,,True,,True,True,mtase:ecoP1Imod_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019998,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021112,mtase__ecoP1Imod_exp__2,,mtase,ecoP1Imod_exp,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023058,,,,,True,,True,True,mtase:ecoP1Imod_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019998,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX021113,mtase__ecoP15Imod_exp__2,,mtase,ecoP15Imod_exp,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR023059,,,,,True,,True,True,mtase:ecoP15Imod_exp,,,8/8/21 13:10,PRJDB3140,SAMD00019997,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031195,mtase__empty_exp__3,,mtase,empty_exp,3,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034562,,,,,True,,True,True,mtase:empty_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029363,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031196,mtase__empty_exp__4,,mtase,empty_exp,4,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034563,,,,,True,,True,True,mtase:empty_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029363,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031197,mtase__ecoP15Imod_exp__3,,mtase,ecoP15Imod_exp,3,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034564,,,,,True,,True,True,mtase:ecoP15Imod_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029365,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031198,mtase__ecoP15Imod_exp__4,,mtase,ecoP15Imod_exp,4,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034565,,,,,True,,True,True,mtase:ecoP15Imod_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029365,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031199,mtase__ecoP1Imod_exp__3,,mtase,ecoP1Imod_exp,3,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034566,,,,,True,,True,True,mtase:ecoP1Imod_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029367,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031200,mtase__ecoP1Imod_exp__4,,mtase,ecoP1Imod_exp,4,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034567,,,,,True,,True,True,mtase:ecoP1Imod_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029367,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031201,mtase__ecoP15Imod_exp__5,,mtase,ecoP15Imod_exp,5,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034568,,,,,True,,True,True,mtase:ecoP15Imod_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029365,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031202,mtase__empty_exp__5,,mtase,empty_exp,5,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034569,,,,,True,,True,True,mtase:empty_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029363,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031203,mtase__ecoP1Imod_exp__5,,mtase,ecoP1Imod_exp,5,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034570,,,,,True,,True,True,mtase:ecoP1Imod_exp,,,8/8/21 13:31,PRJDB3140,SAMD00029367,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.5,,exponential,empty_exp,,True
DRX031204,mtase__empty_stat__1,,mtase,empty_stat,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034571,,,,,True,,True,True,mtase:empty_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029364,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031205,mtase__ecoP15Imod_stat__1,,mtase,ecoP15Imod_stat,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034572,,,,,True,,True,True,mtase:ecoP15Imod_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029366,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031206,mtase__ecoP1Imod_stat__1,,mtase,ecoP1Imod_stat,1,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034573,,,,,True,,True,True,mtase:ecoP1Imod_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029368,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031207,mtase__empty_stat__2,,mtase,empty_stat,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034574,,,,,True,,True,True,mtase:empty_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029364,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031208,mtase__ecoP1Imod_stat__2,,mtase,ecoP1Imod_stat,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034575,,,,,True,,True,True,mtase:ecoP1Imod_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029368,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031209,mtase__empty_stat__3,,mtase,empty_stat,3,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_empty,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034576,,,,,True,,True,True,mtase:empty_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029364,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031210,mtase__ecoP15Imod_stat__2,,mtase,ecoP15Imod_stat,2,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034577,,,,,True,,True,True,mtase:ecoP15Imod_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029366,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031211,mtase__ecoP1Imod_stat__3,,mtase,ecoP1Imod_stat,3,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP1Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034578,,,,,True,,True,True,mtase:ecoP1Imod_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029368,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX031212,mtase__ecoP15Imod_stat__3,,mtase,ecoP15Imod_stat,3,MG1655 del_mrr del_hsdR del_hsdM del_hsdS del_mcrB del_mcrA pACYC184_ecoP15Imod,,batch,,Lennox LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR034579,,,,,True,,True,True,mtase:ecoP15Imod_stat,,,8/8/21 13:31,PRJDB3140,SAMD00029366,Escherichia coli str. K-12 substr. MG1655,,,aerobic,1.1,,stationary,empty_exp,,True
DRX085451,mazF_OE__mazF_2.5h_rep2__1,,mazF_OE,mazF_2.5h_rep2,1,MG1655,,,,,,,,,,,,,,,,,Illumina MiSeq,PAIRED,ILLUMINA,,,,,DRR091881,,,,,True,,True,True,mazF_OE:mazF_2.5h_rep2,,,5/1/19 17:34,PRJDB5742,SAMD00079829,Escherichia coli str. K-12 substr. MG1655,,,,,,,mazF_2.5h_rep2,,True
DRX085452,mazF_OE__mazF_2.5h_rep2__2,,mazF_OE,mazF_2.5h_rep2,2,MG1655,,,,,,,,,,,,,,,,,Illumina MiSeq,PAIRED,ILLUMINA,,,,,DRR091882,,,,,True,,True,True,mazF_OE:mazF_2.5h_rep2,,,5/1/19 17:34,PRJDB5742,SAMD00079830,Escherichia coli str. K-12 substr. MG1655,,,,,,,mazF_2.5h_rep2,,True
DRX093856,raman__wt__1,,raman,wt,1,MG1655,,batch,,L-broth,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100423,,,,,True,,True,True,raman:wt,,,2/6/18 16:32,PRJDB6270,SAMD00092922,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093857,raman__del_cyaA__1,,raman,del_cyaA,1,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100424,,,,,True,,True,True,raman:del_cyaA,,,2/6/18 16:32,PRJDB6270,SAMD00092923,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093858,raman__del_cyaA_01mM__1,,raman,del_cyaA_01mM,1,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (0.1mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100425,,,,,True,,True,True,raman:del_cyaA_01mM,,,2/6/18 16:32,PRJDB6270,SAMD00092924,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093859,raman__del_cyaA_05mM__1,,raman,del_cyaA_05mM,1,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (0.5mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100426,,,,,True,,True,True,raman:del_cyaA_05mM,,,2/6/18 16:32,PRJDB6270,SAMD00092925,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093860,raman__del_cyaA_1mM__1,,raman,del_cyaA_1mM,1,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (1.0mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100427,,,,,True,,True,True,raman:del_cyaA_1mM,,,2/6/18 16:32,PRJDB6270,SAMD00092926,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093861,raman__wt__2,,raman,wt,2,MG1655,,batch,,L-broth,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100428,,,,,True,,True,True,raman:wt,,,2/6/18 16:32,PRJDB6270,SAMD00092927,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093862,raman__del_cyaA__2,,raman,del_cyaA,2,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100429,,,,,True,,True,True,raman:del_cyaA,,,2/6/18 16:32,PRJDB6270,SAMD00092928,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093863,raman__del_cyaA_01mM__2,,raman,del_cyaA_01mM,2,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (0.1mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100430,,,,,True,,True,True,raman:del_cyaA_01mM,,,2/6/18 16:32,PRJDB6270,SAMD00092929,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093864,raman__del_cyaA_05mM__2,,raman,del_cyaA_05mM,2,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (0.5mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100431,,,,,True,,True,True,raman:del_cyaA_05mM,,,2/6/18 16:32,PRJDB6270,SAMD00092930,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093865,raman__del_cyaA_1mM__2,,raman,del_cyaA_1mM,2,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (1.0mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100432,,,,,True,,True,True,raman:del_cyaA_1mM,,,2/6/18 16:32,PRJDB6270,SAMD00092931,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093866,raman__wt__3,,raman,wt,3,MG1655,,batch,,L-broth,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100433,,,,,True,,True,True,raman:wt,,,2/6/18 16:32,PRJDB6270,SAMD00092932,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093867,raman__del_cyaA__3,,raman,del_cyaA,3,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100434,,,,,True,,True,True,raman:del_cyaA,,,2/6/18 16:32,PRJDB6270,SAMD00092933,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093868,raman__del_cyaA_01mM__3,,raman,del_cyaA_01mM,3,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (0.1mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100435,,,,,True,,True,True,raman:del_cyaA_01mM,,,2/6/18 16:32,PRJDB6270,SAMD00092934,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093869,raman__del_cyaA_05mM__3,,raman,del_cyaA_05mM,3,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (0.5mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100436,,,,,True,,True,True,raman:del_cyaA_05mM,,,2/6/18 16:32,PRJDB6270,SAMD00092935,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
DRX093870,raman__del_cyaA_1mM__3,,raman,del_cyaA_1mM,3,MG1655 del_cyaA,,batch,,L-broth,37.0,7.0,,,,,cAMP (1.0mM),,,,,,Illumina HiSeq 2500,PAIRED,ILLUMINA,,,,,DRR100437,,,,,True,,True,True,raman:del_cyaA_1mM,,,2/6/18 16:32,PRJDB6270,SAMD00092936,Escherichia coli str. K-12 substr. MG1655,,29936183,aerobic,0.8,,,wt,,True
ERX1521038,hns__del_hns_spike__1,,hns,del_hns_spike,1,MG1655 del_hns,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1450560,,,,,True,,True,True,hns:del_hns_spike,,,6/15/16 8:58,PRJEB14391,SAMEA4032139,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.6,,,wt,,True
ERX1521039,hns__del_hns_spike__2,,hns,del_hns_spike,2,MG1655 del_hns,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1450561,,,,,True,,True,True,hns:del_hns_spike,,,6/15/16 8:58,PRJEB14391,SAMEA4032140,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.6,,,wt,,True
ERX1521040,hns__del_hns__1,,hns,del_hns,1,MG1655 del_hns,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1450562,,,,,True,,True,True,hns:del_hns,,,6/15/16 8:58,PRJEB14391,SAMEA4032141,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.6,,,wt,,True
ERX1521041,hns__del_hns__2,,hns,del_hns,2,MG1655 del_hns,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1450563,,,,,True,,True,True,hns:del_hns,,,6/15/16 8:58,PRJEB14391,SAMEA4032142,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.6,,,wt,,True
ERX1521044,hns__wt__1,,hns,wt,1,MG1655,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1450566,,,,,True,,True,True,hns:wt,,,6/15/16 8:58,PRJEB14391,SAMEA4032145,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.6,,,wt,,True
ERX1521045,hns__wt__2,,hns,wt,2,MG1655,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1450567,,,,,True,,True,True,hns:wt,,,6/15/16 8:58,PRJEB14391,SAMEA4032146,Escherichia coli str. K-12 substr. MG1655,,,aerobic,0.6,,,wt,,True
ERX2017647,dCas9_OE__wt__1,,dCas9_OE,wt,1,MG1655,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952051,,,,,True,,True,True,dCas9_OE:wt,,,7/4/18 10:48,PRJEB23326,SAMEA104033924,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017648,dCas9_OE__wt__2,,dCas9_OE,wt,2,MG1655,,batch,,LB,37.0,7.0,,,,,,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952052,,,,,True,,True,True,dCas9_OE:wt,,,7/4/18 10:48,PRJEB23326,SAMEA104033925,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017649,dCas9_OE__dCas9_only__1,,dCas9_OE,dCas9_only,1,MG1655 pdCas9-bacteria,,batch,,LB,37.0,7.0,,,,,dCas9,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952053,,,,,True,,True,True,dCas9_OE:dCas9_only,,,7/4/18 10:48,PRJEB23326,SAMEA104033926,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017650,dCas9_OE__dCas9_only__2,,dCas9_OE,dCas9_only,2,MG1655 pdCas9-bacteria,,batch,,LB,37.0,7.0,,,,,dCas9,,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952054,,,,,True,,True,True,dCas9_OE:dCas9_only,,,7/4/18 10:48,PRJEB23326,SAMEA104033927,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017651,dCas9_OE__dox_only__1,,dCas9_OE,dox_only,1,MG1655,,batch,,LB,37.0,7.0,,,,,doxycycline(100ng/mL),,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952055,,,,,True,,True,True,dCas9_OE:dox_only,,,7/4/18 10:48,PRJEB23326,SAMEA104033928,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017652,dCas9_OE__dox_only__2,,dCas9_OE,dox_only,2,MG1655,,batch,,LB,37.0,7.0,,,,,doxycycline(100ng/mL),,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952056,,,,,True,,True,True,dCas9_OE:dox_only,,,7/4/18 10:48,PRJEB23326,SAMEA104033929,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017653,dCas9_OE__dCas9+dox__1,,dCas9_OE,dCas9+dox,1,MG1655 pdCas9-bacteria,,batch,,LB,37.0,7.0,,,,,dCas9;doxycycline(100ng/mL),,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952057,,,,,True,,True,True,dCas9_OE:dCas9+dox,,,7/4/18 10:48,PRJEB23326,SAMEA104033930,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
ERX2017654,dCas9_OE__dCas9+dox__2,,dCas9_OE,dCas9+dox,2,MG1655 pdCas9-bacteria,,batch,,LB,37.0,7.0,,,,,dCas9;doxycycline(100ng/mL),,,,,,Illumina HiSeq 2000,SINGLE,ILLUMINA,,,,,ERR1952058,,,,,True,,True,True,dCas9_OE:dCas9+dox,,,7/4/18 10:48,PRJEB23326,SAMEA104033931,Escherichia coli str. K-12 substr. MG1655,,,aerobic,,,,wt,,True
